question,options,workerid,treatment,domain,votes,predictions
4,"[4, 10, 16, 22, 28]",74,6,1,"[28, 22, 10, 4, 16]","[4, 16, 10, 22, 28]"
5,"[5, 11, 17, 23, 29]",84,6,1,"[17, 29, 23, 5, 11]","[5, 29, 11, 17, 23]"
6,"[6, 12, 18, 24, 30]",84,6,1,"[12, 30, 6, 18, 24]","[6, 18, 24, 12, 30]"
7,"[7, 13, 19, 25, 31]",100,6,1,"[19, 7, 25, 31, 13]","[7, 13, 19, 25, 31]"
8,"[8, 14, 20, 26, 32]",100,6,1,"[14, 26, 20, 32, 8]","[20, 14, 8, 26, 32]"
9,"[9, 15, 21, 27, 33]",105,6,1,"[33, 27, 9, 15, 21]","[9, 15, 27, 21, 33]"
10,"[10, 16, 22, 28, 34]",105,6,1,"[16, 22, 28, 34, 10]","[10, 28, 34, 22, 16]"
11,"[11, 17, 23, 29, 35]",111,6,1,"[29, 17, 35, 23, 11]","[29, 17, 35, 11, 23]"
12,"[12, 18, 24, 30, 36]",111,6,1,"[24, 30, 36, 12, 18]","[24, 30, 36, 18, 12]"
1,"[1, 7, 13, 19, 25]",113,6,1,"[19, 7, 25, 13, 1]","[7, 25, 19, 1, 13]"
2,"[2, 8, 14, 20, 26]",113,6,1,"[14, 20, 26, 2, 8]","[20, 26, 14, 8, 2]"
3,"[3, 9, 15, 21, 27]",117,6,1,"[15, 9, 27, 21, 3]","[15, 9, 21, 3, 27]"
4,"[4, 10, 16, 22, 28]",117,6,1,"[22, 28, 16, 10, 4]","[22, 28, 4, 16, 10]"
5,"[5, 11, 17, 23, 29]",121,6,1,"[11, 23, 17, 5, 29]","[23, 17, 29, 11, 5]"
6,"[6, 12, 18, 24, 30]",121,6,1,"[6, 18, 24, 12, 30]","[18, 12, 6, 30, 24]"
7,"[7, 13, 19, 25, 31]",132,6,1,"[31, 7, 25, 19, 13]","[31, 7, 25, 19, 13]"
8,"[8, 14, 20, 26, 32]",132,6,1,"[26, 14, 20, 32, 8]","[26, 20, 32, 14, 8]"
9,"[9, 15, 21, 27, 33]",133,6,1,"[21, 27, 9, 33, 15]","[21, 9, 27, 15, 33]"
10,"[10, 16, 22, 28, 34]",133,6,1,"[28, 22, 34, 16, 10]","[34, 10, 16, 22, 28]"
11,"[11, 17, 23, 29, 35]",137,6,1,"[35, 23, 11, 29, 17]","[35, 23, 11, 29, 17]"
12,"[12, 18, 24, 30, 36]",137,6,1,"[24, 12, 36, 18, 30]","[24, 12, 36, 18, 30]"
1,"[1, 7, 13, 19, 25]",139,6,1,"[1, 25, 19, 13, 7]","[1, 25, 19, 13, 7]"
2,"[2, 8, 14, 20, 26]",139,6,1,"[2, 8, 20, 14, 26]","[2, 8, 20, 14, 26]"
3,"[3, 9, 15, 21, 27]",149,6,1,"[9, 3, 15, 21, 27]","[15, 3, 9, 21, 27]"
4,"[4, 10, 16, 22, 28]",149,6,1,"[10, 22, 16, 4, 28]","[10, 22, 16, 28, 4]"
5,"[5, 11, 17, 23, 29]",153,6,1,"[5, 29, 11, 17, 23]","[29, 5, 17, 11, 23]"
6,"[6, 12, 18, 24, 30]",153,6,1,"[24, 12, 6, 18, 30]","[12, 24, 18, 6, 30]"
7,"[7, 13, 19, 25, 31]",156,6,1,"[7, 13, 25, 31, 19]","[7, 25, 13, 19, 31]"
8,"[8, 14, 20, 26, 32]",156,6,1,"[26, 20, 32, 14, 8]","[26, 14, 8, 20, 32]"
9,"[9, 15, 21, 27, 33]",157,6,1,"[21, 9, 33, 15, 27]","[9, 21, 15, 33, 27]"
10,"[10, 16, 22, 28, 34]",157,6,1,"[22, 10, 28, 34, 16]","[10, 22, 34, 28, 16]"
11,"[11, 17, 23, 29, 35]",158,6,1,"[35, 11, 29, 17, 23]","[35, 11, 29, 17, 23]"
12,"[12, 18, 24, 30, 36]",158,6,1,"[36, 18, 24, 12, 30]","[36, 18, 24, 30, 12]"
1,"[1, 7, 13, 19, 25]",164,6,1,"[19, 13, 1, 7, 25]","[19, 13, 1, 7, 25]"
2,"[2, 8, 14, 20, 26]",164,6,1,"[20, 26, 2, 14, 8]","[20, 26, 2, 14, 8]"
3,"[3, 9, 15, 21, 27]",167,6,1,"[9, 27, 15, 21, 3]","[21, 9, 3, 27, 15]"
4,"[4, 10, 16, 22, 28]",167,6,1,"[16, 28, 10, 22, 4]","[22, 10, 4, 16, 28]"
5,"[5, 11, 17, 23, 29]",170,6,1,"[29, 5, 23, 11, 17]","[29, 5, 23, 11, 17]"
6,"[6, 12, 18, 24, 30]",170,6,1,"[12, 18, 6, 24, 30]","[12, 18, 6, 24, 30]"
7,"[7, 13, 19, 25, 31]",177,6,1,"[31, 7, 19, 25, 13]","[31, 19, 25, 7, 13]"
8,"[8, 14, 20, 26, 32]",177,6,1,"[32, 26, 20, 8, 14]","[32, 8, 26, 20, 14]"
9,"[9, 15, 21, 27, 33]",178,6,1,"[21, 27, 15, 33, 9]","[15, 27, 33, 21, 9]"
10,"[10, 16, 22, 28, 34]",178,6,1,"[10, 16, 28, 34, 22]","[16, 34, 22, 28, 10]"
11,"[11, 17, 23, 29, 35]",180,6,1,"[29, 23, 35, 11, 17]","[29, 11, 35, 23, 17]"
12,"[12, 18, 24, 30, 36]",180,6,1,"[12, 18, 36, 24, 30]","[12, 36, 18, 24, 30]"
1,"[1, 7, 13, 19, 25]",182,6,1,"[7, 1, 25, 13, 19]","[7, 13, 19, 1, 25]"
2,"[2, 8, 14, 20, 26]",182,6,1,"[8, 2, 14, 26, 20]","[8, 14, 26, 20, 2]"
3,"[3, 9, 15, 21, 27]",187,6,1,"[3, 15, 9, 27, 21]","[3, 15, 9, 27, 21]"
4,"[4, 10, 16, 22, 28]",187,6,1,"[10, 4, 28, 16, 22]","[10, 4, 28, 16, 22]"
5,"[5, 11, 17, 23, 29]",194,6,1,"[5, 11, 23, 17, 29]","[11, 5, 17, 23, 29]"
6,"[6, 12, 18, 24, 30]",194,6,1,"[6, 30, 24, 18, 12]","[30, 6, 18, 24, 12]"
7,"[7, 13, 19, 25, 31]",197,6,1,"[31, 25, 7, 13, 19]","[31, 13, 7, 19, 25]"
8,"[8, 14, 20, 26, 32]",197,6,1,"[20, 8, 14, 32, 26]","[26, 20, 14, 32, 8]"
9,"[9, 15, 21, 27, 33]",203,6,1,"[15, 27, 21, 9, 33]","[9, 27, 15, 21, 33]"
10,"[10, 16, 22, 28, 34]",203,6,1,"[16, 10, 34, 22, 28]","[22, 16, 34, 10, 28]"
11,"[11, 17, 23, 29, 35]",216,6,1,"[17, 11, 23, 35, 29]","[17, 11, 23, 35, 29]"
12,"[12, 18, 24, 30, 36]",216,6,1,"[36, 12, 30, 18, 24]","[18, 24, 12, 30, 36]"
1,"[1, 7, 13, 19, 25]",221,6,1,"[13, 1, 25, 19, 7]","[13, 1, 19, 25, 7]"
2,"[2, 8, 14, 20, 26]",221,6,1,"[8, 2, 14, 20, 26]","[8, 2, 20, 14, 26]"
3,"[3, 9, 15, 21, 27]",224,6,1,"[3, 21, 15, 9, 27]","[3, 9, 21, 15, 27]"
4,"[4, 10, 16, 22, 28]",224,6,1,"[10, 22, 16, 28, 4]","[10, 22, 28, 16, 4]"
5,"[5, 11, 17, 23, 29]",227,6,1,"[5, 23, 29, 11, 17]","[5, 23, 11, 29, 17]"
6,"[6, 12, 18, 24, 30]",227,6,1,"[12, 30, 24, 6, 18]","[12, 30, 18, 6, 24]"
7,"[7, 13, 19, 25, 31]",229,6,1,"[25, 19, 13, 31, 7]","[25, 19, 13, 31, 7]"
8,"[8, 14, 20, 26, 32]",229,6,1,"[20, 14, 32, 8, 26]","[20, 14, 32, 8, 26]"
9,"[9, 15, 21, 27, 33]",235,6,1,"[27, 9, 33, 21, 15]","[27, 9, 33, 21, 15]"
10,"[10, 16, 22, 28, 34]",235,6,1,"[34, 22, 10, 16, 28]","[34, 22, 10, 16, 28]"
11,"[11, 17, 23, 29, 35]",242,6,1,"[17, 35, 11, 29, 23]","[17, 35, 11, 29, 23]"
12,"[12, 18, 24, 30, 36]",242,6,1,"[36, 12, 24, 18, 30]","[36, 18, 12, 24, 30]"
1,"[1, 7, 13, 19, 25]",243,6,1,"[7, 25, 13, 1, 19]","[7, 25, 13, 1, 19]"
2,"[2, 8, 14, 20, 26]",243,6,1,"[20, 14, 8, 2, 26]","[20, 14, 8, 26, 2]"
3,"[3, 9, 15, 21, 27]",245,6,1,"[21, 9, 27, 3, 15]","[27, 15, 9, 3, 21]"
4,"[4, 10, 16, 22, 28]",245,6,1,"[10, 28, 16, 22, 4]","[16, 10, 22, 4, 28]"
5,"[5, 11, 17, 23, 29]",246,6,1,"[5, 11, 29, 23, 17]","[11, 29, 5, 23, 17]"
6,"[6, 12, 18, 24, 30]",246,6,1,"[24, 6, 18, 30, 12]","[24, 18, 12, 6, 30]"
7,"[7, 13, 19, 25, 31]",247,6,1,"[25, 19, 13, 7, 31]","[25, 19, 31, 7, 13]"
8,"[8, 14, 20, 26, 32]",247,6,1,"[20, 32, 8, 26, 14]","[20, 32, 8, 26, 14]"
9,"[9, 15, 21, 27, 33]",250,6,1,"[21, 9, 33, 15, 27]","[33, 21, 15, 9, 27]"
10,"[10, 16, 22, 28, 34]",250,6,1,"[28, 10, 34, 22, 16]","[10, 28, 22, 16, 34]"
11,"[11, 17, 23, 29, 35]",258,6,1,"[17, 23, 29, 35, 11]","[17, 29, 35, 23, 11]"
12,"[12, 18, 24, 30, 36]",258,6,1,"[36, 24, 30, 12, 18]","[36, 12, 24, 30, 18]"
1,"[1, 7, 13, 19, 25]",259,6,1,"[25, 7, 19, 1, 13]","[25, 7, 19, 1, 13]"
2,"[2, 8, 14, 20, 26]",259,6,1,"[26, 8, 14, 20, 2]","[26, 8, 14, 20, 2]"
3,"[3, 9, 15, 21, 27]",260,6,1,"[15, 27, 21, 3, 9]","[15, 27, 21, 3, 9]"
4,"[4, 10, 16, 22, 28]",260,6,1,"[10, 16, 28, 4, 22]","[10, 16, 28, 4, 22]"
5,"[5, 11, 17, 23, 29]",272,6,1,"[5, 11, 29, 17, 23]","[5, 11, 17, 29, 23]"
6,"[6, 12, 18, 24, 30]",272,6,1,"[6, 18, 24, 12, 30]","[6, 18, 24, 12, 30]"
7,"[7, 13, 19, 25, 31]",273,6,1,"[7, 31, 13, 25, 19]","[7, 13, 25, 31, 19]"
8,"[8, 14, 20, 26, 32]",273,6,1,"[26, 20, 14, 32, 8]","[26, 32, 20, 14, 8]"
9,"[9, 15, 21, 27, 33]",283,6,1,"[15, 27, 33, 21, 9]","[27, 15, 33, 9, 21]"
10,"[10, 16, 22, 28, 34]",283,6,1,"[22, 28, 10, 16, 34]","[28, 22, 34, 10, 16]"
11,"[11, 17, 23, 29, 35]",284,6,1,"[17, 35, 11, 29, 23]","[17, 23, 11, 35, 29]"
12,"[12, 18, 24, 30, 36]",284,6,1,"[36, 30, 18, 12, 24]","[36, 30, 24, 12, 18]"
1,"[1, 7, 13, 19, 25]",287,6,1,"[7, 13, 19, 25, 1]","[7, 13, 19, 25, 1]"
2,"[2, 8, 14, 20, 26]",287,6,1,"[26, 2, 20, 14, 8]","[26, 2, 14, 8, 20]"
3,"[3, 9, 15, 21, 27]",290,6,1,"[21, 3, 9, 15, 27]","[3, 9, 15, 27, 21]"
4,"[4, 10, 16, 22, 28]",290,6,1,"[10, 16, 22, 28, 4]","[22, 16, 4, 10, 28]"
5,"[5, 11, 17, 23, 29]",300,6,1,"[29, 17, 23, 5, 11]","[29, 23, 5, 11, 17]"
6,"[6, 12, 18, 24, 30]",300,6,1,"[12, 24, 6, 18, 30]","[12, 6, 18, 30, 24]"
7,"[7, 13, 19, 25, 31]",316,6,1,"[31, 13, 25, 19, 7]","[31, 13, 25, 19, 7]"
8,"[8, 14, 20, 26, 32]",316,6,1,"[20, 8, 14, 26, 32]","[20, 8, 14, 26, 32]"
9,"[9, 15, 21, 27, 33]",321,6,1,"[9, 27, 33, 21, 15]","[9, 27, 33, 21, 15]"
10,"[10, 16, 22, 28, 34]",321,6,1,"[22, 10, 16, 28, 34]","[22, 10, 16, 28, 34]"
11,"[11, 17, 23, 29, 35]",327,6,1,"[35, 17, 29, 11, 23]","[11, 17, 35, 23, 29]"
12,"[12, 18, 24, 30, 36]",327,6,1,"[36, 30, 24, 12, 18]","[18, 24, 30, 12, 36]"
1,"[1, 7, 13, 19, 25]",329,6,1,"[25, 19, 1, 13, 7]","[1, 25, 13, 19, 7]"
2,"[2, 8, 14, 20, 26]",329,6,1,"[2, 20, 8, 26, 14]","[26, 2, 20, 8, 14]"
3,"[3, 9, 15, 21, 27]",333,6,1,"[9, 21, 3, 15, 27]","[21, 9, 3, 15, 27]"
4,"[4, 10, 16, 22, 28]",333,6,1,"[16, 4, 28, 10, 22]","[4, 16, 28, 10, 22]"
5,"[5, 11, 17, 23, 29]",337,6,1,"[5, 11, 29, 17, 23]","[29, 5, 11, 17, 23]"
6,"[6, 12, 18, 24, 30]",337,6,1,"[6, 24, 18, 30, 12]","[6, 18, 24, 12, 30]"
7,"[7, 13, 19, 25, 31]",348,6,1,"[7, 31, 19, 25, 13]","[7, 31, 13, 25, 19]"
8,"[8, 14, 20, 26, 32]",348,6,1,"[26, 8, 20, 14, 32]","[26, 8, 32, 14, 20]"
9,"[9, 15, 21, 27, 33]",349,6,1,"[27, 33, 21, 15, 9]","[21, 27, 15, 9, 33]"
10,"[10, 16, 22, 28, 34]",349,6,1,"[34, 10, 28, 16, 22]","[16, 28, 34, 22, 10]"
11,"[11, 17, 23, 29, 35]",353,6,1,"[29, 11, 17, 23, 35]","[35, 11, 29, 17, 23]"
12,"[12, 18, 24, 30, 36]",353,6,1,"[18, 12, 30, 36, 24]","[36, 12, 24, 18, 30]"
1,"[1, 7, 13, 19, 25]",355,6,1,"[1, 19, 25, 13, 7]","[1, 19, 25, 13, 7]"
2,"[2, 8, 14, 20, 26]",355,6,1,"[2, 14, 26, 8, 20]","[14, 2, 26, 8, 20]"
3,"[3, 9, 15, 21, 27]",365,6,1,"[15, 21, 9, 3, 27]","[15, 21, 9, 3, 27]"
4,"[4, 10, 16, 22, 28]",365,6,1,"[16, 28, 4, 10, 22]","[16, 28, 4, 10, 22]"
5,"[5, 11, 17, 23, 29]",369,6,1,"[5, 11, 23, 17, 29]","[5, 11, 23, 17, 29]"
6,"[6, 12, 18, 24, 30]",369,6,1,"[12, 18, 24, 6, 30]","[12, 18, 24, 6, 30]"
7,"[7, 13, 19, 25, 31]",372,6,1,"[19, 31, 25, 7, 13]","[19, 31, 25, 7, 13]"
8,"[8, 14, 20, 26, 32]",372,6,1,"[20, 26, 8, 32, 14]","[20, 26, 8, 32, 14]"
9,"[9, 15, 21, 27, 33]",373,6,1,"[21, 9, 15, 27, 33]","[15, 9, 21, 33, 27]"
10,"[10, 16, 22, 28, 34]",373,6,1,"[28, 22, 10, 16, 34]","[16, 22, 10, 28, 34]"
11,"[11, 17, 23, 29, 35]",374,6,1,"[17, 11, 23, 29, 35]","[17, 11, 29, 35, 23]"
12,"[12, 18, 24, 30, 36]",374,6,1,"[30, 36, 12, 18, 24]","[30, 36, 24, 12, 18]"
1,"[1, 7, 13, 19, 25]",380,6,1,"[7, 1, 19, 13, 25]","[7, 1, 19, 13, 25]"
2,"[2, 8, 14, 20, 26]",380,6,1,"[2, 20, 26, 14, 8]","[2, 20, 26, 14, 8]"
3,"[3, 9, 15, 21, 27]",383,6,1,"[15, 21, 27, 9, 3]","[15, 21, 27, 9, 3]"
4,"[4, 10, 16, 22, 28]",383,6,1,"[16, 10, 28, 4, 22]","[16, 10, 28, 4, 22]"
5,"[5, 11, 17, 23, 29]",386,6,1,"[11, 5, 23, 17, 29]","[11, 5, 23, 17, 29]"
6,"[6, 12, 18, 24, 30]",386,6,1,"[12, 30, 18, 24, 6]","[12, 30, 18, 24, 6]"
7,"[7, 13, 19, 25, 31]",393,6,1,"[19, 25, 13, 31, 7]","[31, 25, 19, 13, 7]"
8,"[8, 14, 20, 26, 32]",393,6,1,"[14, 20, 8, 26, 32]","[20, 14, 8, 26, 32]"
9,"[9, 15, 21, 27, 33]",394,6,1,"[21, 27, 15, 33, 9]","[21, 27, 15, 33, 9]"
10,"[10, 16, 22, 28, 34]",394,6,1,"[34, 22, 10, 16, 28]","[34, 22, 10, 16, 28]"
11,"[11, 17, 23, 29, 35]",396,6,1,"[23, 17, 35, 11, 29]","[23, 17, 11, 35, 29]"
12,"[12, 18, 24, 30, 36]",396,6,1,"[30, 18, 36, 12, 24]","[30, 18, 36, 24, 12]"
1,"[1, 7, 13, 19, 25]",398,6,1,"[25, 7, 13, 19, 1]","[25, 7, 13, 19, 1]"
2,"[2, 8, 14, 20, 26]",398,6,1,"[8, 26, 20, 2, 14]","[8, 26, 20, 2, 14]"
3,"[3, 9, 15, 21, 27]",403,6,1,"[3, 15, 27, 9, 21]","[3, 15, 27, 9, 21]"
4,"[4, 10, 16, 22, 28]",403,6,1,"[4, 22, 10, 16, 28]","[4, 22, 10, 16, 28]"
5,"[5, 11, 17, 23, 29]",410,6,1,"[17, 23, 5, 11, 29]","[17, 23, 5, 11, 29]"
6,"[6, 12, 18, 24, 30]",410,6,1,"[18, 12, 6, 24, 30]","[18, 12, 6, 24, 30]"
7,"[7, 13, 19, 25, 31]",413,6,1,"[19, 31, 13, 7, 25]","[31, 19, 7, 13, 25]"
8,"[8, 14, 20, 26, 32]",413,6,1,"[8, 20, 32, 26, 14]","[20, 8, 26, 32, 14]"
9,"[9, 15, 21, 27, 33]",419,6,1,"[15, 33, 27, 21, 9]","[15, 27, 33, 21, 9]"
10,"[10, 16, 22, 28, 34]",419,6,1,"[10, 22, 28, 16, 34]","[16, 28, 10, 34, 22]"
11,"[11, 17, 23, 29, 35]",432,6,1,"[17, 11, 23, 29, 35]","[17, 11, 23, 29, 35]"
12,"[12, 18, 24, 30, 36]",432,6,1,"[12, 30, 18, 24, 36]","[12, 30, 18, 24, 36]"
